StartTime,Date,Site,SiteID,Address,Latitude,Longitude,parameter,Value,Units,temp_f,weather,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,windchill_f,station_id,Location
11/1/15 15:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,1.7,PPB,65,Mostly Cloudy,West at 13.8 MPH (12 KT),West,260,13.8,NULL,NULL,KLGA,Rooftop
11/1/15 15:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,2.4,PPB,65,Mostly Cloudy,West at 13.8 MPH (12 KT),West,260,13.8,NULL,NULL,KLGA,Rooftop
11/1/15 15:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0.9,PPB,65,Mostly Cloudy,West at 13.8 MPH (12 KT),West,260,13.8,NULL,NULL,KLGA,Rooftop
11/1/15 16:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,1.2,PPB,64,Mostly Cloudy,West at 6.9 MPH (6 KT),West,250,6.9,NULL,NULL,KLGA,Rooftop
11/1/15 16:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,2,PPB,64,Mostly Cloudy,West at 6.9 MPH (6 KT),West,250,6.9,NULL,NULL,KLGA,Rooftop
11/1/15 16:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0.5,PPB,64,Mostly Cloudy,West at 6.9 MPH (6 KT),West,250,6.9,NULL,NULL,KLGA,Rooftop
11/1/15 17:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,0.7,PPB,63,Mostly Cloudy,South at 9.2 MPH (8 KT),South,200,9.2,NULL,62,KLGA,Rooftop
11/1/15 17:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,2,PPB,63,Mostly Cloudy,South at 9.2 MPH (8 KT),South,200,9.2,NULL,62,KLGA,Rooftop
11/1/15 17:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0.4,PPB,63,Mostly Cloudy,South at 9.2 MPH (8 KT),South,200,9.2,NULL,62,KLGA,Rooftop
11/1/15 18:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NO ,0.6,PPB,62,Mostly Cloudy,Southwest at 9.2 MPH (8 KT),Southwest,220,9.2,NULL,61,KLGA,Rooftop
11/1/15 18:00,11/1/2015,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,NO ,2.4,PPB,62,Mostly Cloudy,Southwest at 9.2 MPH (8 KT),Southwest,220,9.2,NULL,61,KLGA,Rooftop
11/1/15 18:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,NO ,0.5,PPB,62,Mostly Cloudy,Southwest at 9.2 MPH (8 KT),Southwest,220,9.2,NULL,61,KLGA,Rooftop
