StartTime,Site,SiteID,Address,Latitude,Longitude,pm25,co,no,no2,nox,ozone,so2,temp_f,weather,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,windchill_f,observation_datetime,station_id,Location
11/2/15 12:00,MSPTH,360810120,Maspeth Library       69-70 GRAND AV,40.72698,-73.89313,9.6,NULL,NULL,NULL,NULL,NULL,NULL,63,Mostly Cloudy,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
11/2/15 8:00,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NULL,300,10.8,24.3,35.2,10,1.5,59,Mostly Cloudy,Northwest at 3.5 MPH (3 KT),Northwest,320,3.5,NULL,NULL,00:00.0,KLGA,Rooftop
11/5/15 2:00,IS52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,17.1,NULL,NULL,NULL,NULL,0,NULL,58,Fog/Mist,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
11/7/15 9:00,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NULL,100,1.7,8.5,10.2,23,0.5,62,Mostly Cloudy,Northwest at 8.1 MPH (7 KT),Northwest,320,8.1,NULL,61,00:00.0,KLGA,Rooftop
11/6/15 11:00,PS 314,360470052,"PS 314, 330 59th ST",40.64182,-74.01871,3.7,NULL,NULL,NULL,NULL,NULL,NULL,72,Mostly Cloudy,from the Southwest at 13.8 gusting to 20.7 MPH (12,Southwest,230,13.8,20.7,NULL,00:00.0,KLGA,Rooftop
11/7/15 3:00,CCNY,360610135,160 CONVENT AVENUE,40.81976,-73.94825,NULL,NULL,NULL,NULL,NULL,29,NULL,69,Mostly Cloudy,West at 16.1 MPH (14 KT),West,290,16.1,NULL,NULL,00:00.0,KLGA,Rooftop
11/9/15 12:00,Division Street,360610134,"40 DIVISION STREET, PS 124",40.71436,-73.99518,4.6,NULL,NULL,NULL,NULL,NULL,NULL,59,Mostly Cloudy,Southwest at 4.6 MPH (4 KT),Southwest,240,4.6,NULL,59,00:00.0,KLGA,Rooftop
11/2/15 0:00,MSPTH,360810120,Maspeth Library       69-70 GRAND AV,40.72698,-73.89313,10.3,NULL,NULL,NULL,NULL,NULL,NULL,60,Mostly Cloudy,Northwest at 11.5 MPH (10 KT),Northwest,320,11.5,NULL,58,00:00.0,KLGA,Rooftop
11/5/15 1:00,IS143,360610115,515 W 182nd St,40.84955,-73.935649,17.5,NULL,NULL,NULL,NULL,NULL,NULL,59,Fog/Mist,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
11/3/15 18:00,PS 314,360470052,"PS 314, 330 59th ST",40.64182,-74.01871,11.4,NULL,NULL,NULL,NULL,NULL,NULL,66,Fair,South at 3.5 MPH (3 KT),South,190,3.5,NULL,NULL,00:00.0,KLGA,Rooftop
11/6/15 4:00,Susan Wagner,360850067,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",40.59664,-74.12525,NULL,NULL,NULL,NULL,NULL,16,NULL,66,Fog/Mist,South at 6.9 MPH (6 KT),South,200,6.9,NULL,NULL,00:00.0,KLGA,Rooftop
